iter	Passed	Remaining
1201	69744	46302
1202	69797	46241
1203	69848	46178
1204	69904	46119
1205	69958	46059
1206	70021	46004
1207	70077	45945
1208	70143	45891
1209	70201	45834
1210	70258	45775
1211	70313	45715
1212	70369	45655
1213	70421	45594
1214	70480	45536
1215	70538	45478
1216	70588	45415
1217	70641	45354
1218	70703	45298
1219	70752	45235
1220	70812	45178
1221	70867	45118
1222	70921	45057
1223	70977	44998
1224	71038	44942
1225	71094	44883
1226	71156	44828
1227	71221	44774
1228	71269	44710
1229	71327	44652
1230	71382	44592
1231	71437	44532
1232	71492	44472
1233	71550	44414
1234	71611	44358
1235	71660	44294
1236	71719	44237
1237	71770	44175
1238	71823	44114
1239	71883	44057
1240	71938	43997
1241	71994	43938
1242	72044	43875
1243	72107	43820
1244	72160	43759
1245	72214	43699
1246	72271	43641
1247	72334	43586
1248	72385	43523
1249	72435	43461
1250	72496	43405
1251	72549	43344
1252	72604	43284
1253	72662	43226
1254	72714	43165
1255	72770	43105
1256	72825	43046
1257	72882	42987
1258	72941	42930
1259	73006	42877
1260	73058	42815
1261	73109	42753
1262	73169	42696
1263	73225	42637
1264	73283	42579
1265	73340	42521
1266	73398	42463
1267	73454	42404
1268	73505	42342
1269	73560	42282
1270	73620	42226
1271	73677	42167
1272	73732	42108
1273	73790	42050
1274	73846	41991
1275	73899	41930
1276	73950	41868
1277	74006	41809
1278	74064	41751
1279	74122	41693
1280	74179	41635
1281	74236	41577
1282	74296	41520
1283	74351	41460
1284	74405	41400
1285	74459	41340
1286	74518	41283
1287	74571	41222
1288	74630	41165
1289	74682	41104
1290	74730	41041
1291	74785	40981
1292	74847	40925
1293	74904	40867
1294	74964	40810
1295	75022	40753
1296	75084	40697
1297	75130	40633
1298	75188	40575
1299	75248	40518
1300	75314	40465
1301	75366	40403
1302	75420	40343
1303	75469	40281
1304	75524	40221
1305	75579	40162
1306	75639	40105
1307	75690	40044
1308	75750	39987
1309	75812	39931
1310	75868	39873
1311	75926	39814
1312	75981	39755
1313	76035	39695
1314	76089	39635
1315	76143	39576
1316	76197	39516
1317	76250	39455
1318	76300	39394
1319	76354	39334
1320	76411	39275
1321	76471	39218
1322	76526	39159
1323	76579	39099
1324	76634	39040
1325	76689	38980
1326	76744	38921
1327	76799	38862
1328	76855	38803
1329	76904	38741
1330	76961	38682
